번호,사이트명,동번호,층번호,존이름,앰프이름,앰프ID,채널,존페이징이름,ZPC 입력,ZPC출력채널,동번호,층번호,계단번호
1,서울,1동,1F,통신실1,1번앰프,DPCB-30-955e4e,1,zpc01,1,2,1,1,1
2,서울,2동,2F,통신실2,2번앰프,DPCB-30-93dbd0,1,,,,1,1,2
3,구미,1동,1F,근린사무실1,3번앰프,DPCB-30-936716,1,,,,2,1,1
4,구미,2동,2F,근린사무실2,4번앰프,DPCB-30-93d87c,1,,,,2,1,2
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
